ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1994-11-28,1.3530867215531486,0.7112599624997716,1.7960364044566342,1.3530867215531486,1.3530867215531486,-0.0973493911408151,-0.0973493911408151,-0.0973493911408151,-0.0973493911408151,-0.0973493911408151,-0.0973493911408151,0.0,0.0,0.0,1.2557373304123334
1994-12-05,1.353193637830657,0.7181044970396953,1.7836568903383676,1.353193637830657,1.353193637830657,-0.10994337292185898,-0.10994337292185898,-0.10994337292185898,-0.10994337292185898,-0.10994337292185898,-0.10994337292185898,0.0,0.0,0.0,1.243250264908798
1994-12-12,1.3533005541081653,0.7039658591654664,1.7633587417116017,1.3533005541081653,1.3533005541081653,-0.12460541889057224,-0.12460541889057224,-0.12460541889057224,-0.12460541889057224,-0.12460541889057224,-0.12460541889057224,0.0,0.0,0.0,1.228695135217593
1994-12-19,1.3534074703856738,0.7111413682818466,1.767176344785624,1.3534074703856738,1.3534074703856738,-0.1344367203676016,-0.1344367203676016,-0.1344367203676016,-0.1344367203676016,-0.1344367203676016,-0.1344367203676016,0.0,0.0,0.0,1.2189707500180722
1994-12-26,1.3535143866631822,0.68305459837963,1.7719571220274424,1.3535143866631822,1.3535143866631822,-0.13532331134020797,-0.13532331134020797,-0.13532331134020797,-0.13532331134020797,-0.13532331134020797,-0.13532331134020797,0.0,0.0,0.0,1.2181910753229743
1995-01-02,1.3536213029406903,0.6690037778451069,1.7233477036664777,1.3536213029406903,1.3536213029406903,-0.12989601247028063,-0.12989601247028063,-0.12989601247028063,-0.12989601247028063,-0.12989601247028063,-0.12989601247028063,0.0,0.0,0.0,1.2237252904704097
1995-01-09,1.3537282192181987,0.681317464784375,1.7697896390743355,1.3537282192181985,1.3537282192181985,-0.12459745595801883,-0.12459745595801883,-0.12459745595801883,-0.12459745595801883,-0.12459745595801883,-0.12459745595801883,0.0,0.0,0.0,1.22913076326018
1995-01-16,1.353835135495707,0.701047743057044,1.7649012579822174,1.353835135495707,1.353835135495707,-0.12373618650495806,-0.12373618650495806,-0.12373618650495806,-0.12373618650495806,-0.12373618650495806,-0.12373618650495806,0.0,0.0,0.0,1.230098948990749
1995-01-23,1.3539420517732155,0.6958526528555992,1.7414306682082323,1.3539420517732155,1.3539420517732155,-0.12665125429481489,-0.12665125429481489,-0.12665125429481489,-0.12665125429481489,-0.12665125429481489,-0.12665125429481489,0.0,0.0,0.0,1.2272907974784006
1995-01-30,1.354048968050724,0.7125232189288269,1.7713128085452834,1.354048968050724,1.354048968050724,-0.12957379137017544,-0.12957379137017544,-0.12957379137017544,-0.12957379137017544,-0.12957379137017544,-0.12957379137017544,0.0,0.0,0.0,1.2244751766805484
