ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1994-11-28,1.204910286539978,0.5061204872622819,1.6367728865905011,1.204910286539978,1.204910286539978,-0.14027177162556628,-0.14027177162556628,-0.14027177162556628,-0.14027177162556628,-0.14027177162556628,-0.14027177162556628,0.0,0.0,0.0,1.0646385149144115
1994-12-05,1.2050435399044575,0.4440324669240399,1.6454525508269247,1.2050435399044575,1.2050435399044575,-0.15604378102365807,-0.15604378102365807,-0.15604378102365807,-0.15604378102365807,-0.15604378102365807,-0.15604378102365807,0.0,0.0,0.0,1.0489997588807993
1994-12-12,1.205176793268937,0.4388710998504188,1.623132881270833,1.205176793268937,1.205176793268937,-0.17232641968013127,-0.17232641968013127,-0.17232641968013127,-0.17232641968013127,-0.17232641968013127,-0.17232641968013127,0.0,0.0,0.0,1.0328503735888057
1994-12-19,1.2053100466334163,0.45883592525697214,1.5873835870318078,1.2053100466334163,1.2053100466334163,-0.1830238161013835,-0.1830238161013835,-0.1830238161013835,-0.1830238161013835,-0.1830238161013835,-0.1830238161013835,0.0,0.0,0.0,1.0222862305320328
1994-12-26,1.2054432999978961,0.4548386794531214,1.6120568487088476,1.2054432999978961,1.2054432999978961,-0.1832932383272601,-0.1832932383272601,-0.1832932383272601,-0.1832932383272601,-0.1832932383272601,-0.1832932383272601,0.0,0.0,0.0,1.022150061670636
1995-01-02,1.2055765533623755,0.4489297402172946,1.553386913693025,1.2055765533623755,1.2055765533623755,-0.17403608859341566,-0.17403608859341566,-0.17403608859341566,-0.17403608859341566,-0.17403608859341566,-0.17403608859341566,0.0,0.0,0.0,1.0315404647689599
1995-01-09,1.2057098067268552,0.4432813676547484,1.577979880902134,1.2057098067268552,1.2057098067268552,-0.16158288447981983,-0.16158288447981983,-0.16158288447981983,-0.16158288447981983,-0.16158288447981983,-0.16158288447981983,0.0,0.0,0.0,1.0441269222470355
1995-01-16,1.2058430600913346,0.5159797104256284,1.6486384295471923,1.2058430600913346,1.2058430600913346,-0.15293260211455584,-0.15293260211455584,-0.15293260211455584,-0.15293260211455584,-0.15293260211455584,-0.15293260211455584,0.0,0.0,0.0,1.0529104579767787
1995-01-23,1.2059763134558141,0.4598465549271879,1.6108195802606142,1.2059763134558141,1.2059763134558141,-0.15047803296631235,-0.15047803296631235,-0.15047803296631235,-0.15047803296631235,-0.15047803296631235,-0.15047803296631235,0.0,0.0,0.0,1.055498280489502
1995-01-30,1.2061095668202937,0.5006897221462341,1.6156594325884204,1.2061095668202937,1.2061095668202937,-0.1502599265742601,-0.1502599265742601,-0.1502599265742601,-0.1502599265742601,-0.1502599265742601,-0.1502599265742601,0.0,0.0,0.0,1.0558496402460336
1995-02-06,1.2062428201847732,0.45875815396171493,1.6172932028096452,1.206242820184773,1.206242820184773,-0.1448998648819416,-0.1448998648819416,-0.1448998648819416,-0.1448998648819416,-0.1448998648819416,-0.1448998648819416,0.0,0.0,0.0,1.0613429553028317
1995-02-13,1.2063760735492526,0.4664085289020979,1.6305916733726185,1.2063760735492526,1.2063760735492526,-0.1289282283589872,-0.1289282283589872,-0.1289282283589872,-0.1289282283589872,-0.1289282283589872,-0.1289282283589872,0.0,0.0,0.0,1.0774478451902654
1995-02-20,1.2065093269137324,0.5238421522017437,1.7084056872347948,1.2065093269137324,1.2065093269137324,-0.10260583680690488,-0.10260583680690488,-0.10260583680690488,-0.10260583680690488,-0.10260583680690488,-0.10260583680690488,0.0,0.0,0.0,1.1039034901068274
1995-02-27,1.2066425802782117,0.5355167734284682,1.7225750813402063,1.2066425802782117,1.2066425802782117,-0.07150639517960572,-0.07150639517960572,-0.07150639517960572,-0.07150639517960572,-0.07150639517960572,-0.07150639517960572,0.0,0.0,0.0,1.135136185098606
1995-03-06,1.2067758336426913,0.5791101041138077,1.761053306070675,1.2067758336426913,1.2067758336426913,-0.042309090462630386,-0.042309090462630386,-0.042309090462630386,-0.042309090462630386,-0.042309090462630386,-0.042309090462630386,0.0,0.0,0.0,1.1644667431800608
