ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1994-11-28,1.2978012173643276,0.6275290314145759,1.7759813946260337,1.2978012173643276,1.2978012173643276,-0.1025852969684388,-0.1025852969684388,-0.1025852969684388,-0.1025852969684388,-0.1025852969684388,-0.1025852969684388,0.0,0.0,0.0,1.1952159203958888
1994-12-05,1.2979383360228274,0.6029401765122184,1.7382733908120642,1.2979383360228274,1.2979383360228274,-0.11353621603960208,-0.11353621603960208,-0.11353621603960208,-0.11353621603960208,-0.11353621603960208,-0.11353621603960208,0.0,0.0,0.0,1.1844021199832253
1994-12-12,1.2980754546813271,0.5972004786051393,1.709743346645434,1.2980754546813271,1.2980754546813271,-0.125139903499185,-0.125139903499185,-0.125139903499185,-0.125139903499185,-0.125139903499185,-0.125139903499185,0.0,0.0,0.0,1.1729355511821422
1994-12-19,1.2982125733398269,0.5803918864366362,1.8056282993347323,1.298212573339827,1.298212573339827,-0.13358351182691305,-0.13358351182691305,-0.13358351182691305,-0.13358351182691305,-0.13358351182691305,-0.13358351182691305,0.0,0.0,0.0,1.1646290615129138
1994-12-26,1.2983496919983266,0.5849415563955813,1.7302958106959665,1.2983496919983266,1.2983496919983266,-0.13650607881205012,-0.13650607881205012,-0.13650607881205012,-0.13650607881205012,-0.13650607881205012,-0.13650607881205012,0.0,0.0,0.0,1.1618436131862766
1995-01-02,1.2984868106568266,0.5949884246376459,1.6814006042020386,1.2984868106568266,1.2984868106568266,-0.1350833900538533,-0.1350833900538533,-0.1350833900538533,-0.1350833900538533,-0.1350833900538533,-0.1350833900538533,0.0,0.0,0.0,1.1634034206029733
1995-01-09,1.2986239293153263,0.5566607459339638,1.7622887865070582,1.2986239293153263,1.2986239293153263,-0.13244641141650026,-0.13244641141650026,-0.13244641141650026,-0.13244641141650026,-0.13244641141650026,-0.13244641141650026,0.0,0.0,0.0,1.166177517898826
1995-01-16,1.298761047973826,0.6079984164073446,1.7405028811525054,1.298761047973826,1.298761047973826,-0.13093225991067373,-0.13093225991067373,-0.13093225991067373,-0.13093225991067373,-0.13093225991067373,-0.13093225991067373,0.0,0.0,0.0,1.1678287880631524
1995-01-23,1.2988981666323258,0.6224508826422289,1.7398133106187372,1.2988981666323258,1.2988981666323258,-0.13099399572238676,-0.13099399572238676,-0.13099399572238676,-0.13099399572238676,-0.13099399572238676,-0.13099399572238676,0.0,0.0,0.0,1.1679041709099391
1995-01-30,1.2990352852908258,0.603090175564684,1.723156738114622,1.2990352852908258,1.2990352852908258,-0.1317061481449478,-0.1317061481449478,-0.1317061481449478,-0.1317061481449478,-0.1317061481449478,-0.1317061481449478,0.0,0.0,0.0,1.167329137145878
1995-02-06,1.2991724039493255,0.6338721222507624,1.7207315857571905,1.2991724039493255,1.2991724039493255,-0.13114826496975784,-0.13114826496975784,-0.13114826496975784,-0.13114826496975784,-0.13114826496975784,-0.13114826496975784,0.0,0.0,0.0,1.1680241389795678
1995-02-13,1.2993095226078255,0.6474026739539682,1.6927788479825094,1.2993095226078255,1.2993095226078255,-0.1264460913245639,-0.1264460913245639,-0.1264460913245639,-0.1264460913245639,-0.1264460913245639,-0.1264460913245639,0.0,0.0,0.0,1.1728634312832615
1995-02-20,1.299446641266325,0.5958141050373085,1.7361008250052634,1.299446641266325,1.299446641266325,-0.11496075285484272,-0.11496075285484272,-0.11496075285484272,-0.11496075285484272,-0.11496075285484272,-0.11496075285484272,0.0,0.0,0.0,1.1844858884114824
1995-02-27,1.299583759924825,0.6625994069494128,1.7877581389055033,1.299583759924825,1.299583759924825,-0.09684278096549433,-0.09684278096549433,-0.09684278096549433,-0.09684278096549433,-0.09684278096549433,-0.09684278096549433,0.0,0.0,0.0,1.2027409789593306
1995-03-06,1.2997208785833247,0.6432783554297469,1.8057274535620051,1.2997208785833247,1.2997208785833247,-0.07635709569009215,-0.07635709569009215,-0.07635709569009215,-0.07635709569009215,-0.07635709569009215,-0.07635709569009215,0.0,0.0,0.0,1.2233637828932327
1995-03-13,1.2998579972418247,0.708636640919437,1.815599086984338,1.2998579972418247,1.2998579972418247,-0.05940056930866533,-0.05940056930866533,-0.05940056930866533,-0.05940056930866533,-0.05940056930866533,-0.05940056930866533,0.0,0.0,0.0,1.2404574279331593
1995-03-20,1.2999951159003242,0.6849342415128394,1.8237213458984223,1.2999951159003242,1.2999951159003242,-0.04855711610442454,-0.04855711610442454,-0.04855711610442454,-0.04855711610442454,-0.04855711610442454,-0.04855711610442454,0.0,0.0,0.0,1.2514379997958998
1995-03-27,1.3001322345588242,0.6804761852824565,1.7857665081017038,1.3001322345588242,1.3001322345588242,-0.04046852280967376,-0.04046852280967376,-0.04046852280967376,-0.04046852280967376,-0.04046852280967376,-0.04046852280967376,0.0,0.0,0.0,1.2596637117491505
1995-04-03,1.300269353217324,0.7020336105433812,1.8012610059318472,1.300269353217324,1.300269353217324,-0.028601368996066297,-0.028601368996066297,-0.028601368996066297,-0.028601368996066297,-0.028601368996066297,-0.028601368996066297,0.0,0.0,0.0,1.2716679842212577
1995-04-10,1.300406471875824,0.7373361061550474,1.828166924326004,1.300406471875824,1.300406471875824,-0.008965682879219927,-0.008965682879219927,-0.008965682879219927,-0.008965682879219927,-0.008965682879219927,-0.008965682879219927,0.0,0.0,0.0,1.291440788996604
1995-04-17,1.3005435905343234,0.7538535055739523,1.8710276747830499,1.3005435905343234,1.3005435905343234,0.016804073002663983,0.016804073002663983,0.016804073002663983,0.016804073002663983,0.016804073002663983,0.016804073002663983,0.0,0.0,0.0,1.3173476635369874
1995-04-24,1.3006807091928234,0.7967370093786103,1.9372365409567187,1.3006807091928234,1.3006807091928234,0.04365399837957072,0.04365399837957072,0.04365399837957072,0.04365399837957072,0.04365399837957072,0.04365399837957072,0.0,0.0,0.0,1.3443347075723941
1995-05-01,1.3008178278513232,0.806833722585025,1.9185977356508679,1.3008178278513232,1.3008178278513232,0.0676230464398814,0.0676230464398814,0.0676230464398814,0.0676230464398814,0.0676230464398814,0.0676230464398814,0.0,0.0,0.0,1.3684408742912046
1995-05-08,1.3009549465098231,0.8019732464244681,1.9536157325712087,1.3009549465098231,1.3009549465098231,0.08781823068274124,0.08781823068274124,0.08781823068274124,0.08781823068274124,0.08781823068274124,0.08781823068274124,0.0,0.0,0.0,1.3887731771925644
1995-05-15,1.3010920651683229,0.8549707669986291,1.9583816894292414,1.3010920651683229,1.3010920651683229,0.10465120230481488,0.10465120230481488,0.10465120230481488,0.10465120230481488,0.10465120230481488,0.10465120230481488,0.0,0.0,0.0,1.4057432674731378
1995-05-22,1.3012291838268224,0.8997167691668844,1.9964402658275961,1.3012291838268224,1.3012291838268224,0.11749887472986141,0.11749887472986141,0.11749887472986141,0.11749887472986141,0.11749887472986141,0.11749887472986141,0.0,0.0,0.0,1.4187280585566837
1995-05-29,1.3013663024853224,0.8453350394857879,2.0065606037664687,1.3013663024853224,1.3013663024853224,0.12488653833528746,0.12488653833528746,0.12488653833528746,0.12488653833528746,0.12488653833528746,0.12488653833528746,0.0,0.0,0.0,1.4262528408206099
1995-06-05,1.3015034211438221,0.8648982161350616,2.0075585943487435,1.3015034211438221,1.3015034211438221,0.12652332504029956,0.12652332504029956,0.12652332504029956,0.12652332504029956,0.12652332504029956,0.12652332504029956,0.0,0.0,0.0,1.4280267461841216
1995-06-12,1.301640539802322,0.8645612252808581,2.005730248873898,1.301640539802322,1.301640539802322,0.12420592600038216,0.12420592600038216,0.12420592600038216,0.12420592600038216,0.12420592600038216,0.12420592600038216,0.0,0.0,0.0,1.4258464658027044
1995-06-19,1.3017776584608216,0.8174080120939887,2.000657066525602,1.3017776584608216,1.3017776584608216,0.12047065091517047,0.12047065091517047,0.12047065091517047,0.12047065091517047,0.12047065091517047,0.12047065091517047,0.0,0.0,0.0,1.4222483093759921
1995-06-26,1.3019147771193216,0.8721860631530118,1.9770388857526913,1.3019147771193216,1.3019147771193216,0.11695037920178564,0.11695037920178564,0.11695037920178564,0.11695037920178564,0.11695037920178564,0.11695037920178564,0.0,0.0,0.0,1.4188651563211072
1995-07-03,1.3020518957778213,0.8261660703326488,1.952060150053864,1.3020518957778213,1.3020518957778213,0.11439320842851972,0.11439320842851972,0.11439320842851972,0.11439320842851972,0.11439320842851972,0.11439320842851972,0.0,0.0,0.0,1.416445104206341
1995-07-10,1.3021890144363213,0.8188334424075494,1.9695332617883603,1.3021890144363213,1.3021890144363213,0.11350353808910835,0.11350353808910835,0.11350353808910835,0.11350353808910835,0.11350353808910835,0.11350353808910835,0.0,0.0,0.0,1.4156925525254296
