ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1994-11-28,1.3959762257851023,0.7255757157457382,1.832324639532294,1.3959762257851023,1.3959762257851023,-0.10033247249518963,-0.10033247249518963,-0.10033247249518963,-0.10033247249518963,-0.10033247249518963,-0.10033247249518963,0.0,0.0,0.0,1.2956437532899125
1994-12-05,1.3960931335061795,0.7816178785312025,1.8387814688151782,1.3960931335061795,1.3960931335061795,-0.11158129508239625,-0.11158129508239625,-0.11158129508239625,-0.11158129508239625,-0.11158129508239625,-0.11158129508239625,0.0,0.0,0.0,1.2845118384237832
1994-12-12,1.3962100412272567,0.7002247259121904,1.8175977642737116,1.3962100412272567,1.3962100412272567,-0.12355335644299623,-0.12355335644299623,-0.12355335644299623,-0.12355335644299623,-0.12355335644299623,-0.12355335644299623,0.0,0.0,0.0,1.2726566847842604
1994-12-19,1.3963269489483339,0.7209227093162783,1.804706283485371,1.3963269489483339,1.3963269489483339,-0.13217827238453092,-0.13217827238453092,-0.13217827238453092,-0.13217827238453092,-0.13217827238453092,-0.13217827238453092,0.0,0.0,0.0,1.264148676563803
1994-12-26,1.3964438566694108,0.7454272267884783,1.8110868438739363,1.3964438566694108,1.3964438566694108,-0.1349685537252371,-0.1349685537252371,-0.1349685537252371,-0.1349685537252371,-0.1349685537252371,-0.1349685537252371,0.0,0.0,0.0,1.2614753029441736
1995-01-02,1.396560764390488,0.6992724686690268,1.794405005464377,1.396560764390488,1.396560764390488,-0.1333043015964604,-0.1333043015964604,-0.1333043015964604,-0.1333043015964604,-0.1333043015964604,-0.1333043015964604,0.0,0.0,0.0,1.2632564627940277
1995-01-09,1.3966776721115652,0.7298694945609845,1.84972803855386,1.3966776721115652,1.3966776721115652,-0.13065815382781878,-0.13065815382781878,-0.13065815382781878,-0.13065815382781878,-0.13065815382781878,-0.13065815382781878,0.0,0.0,0.0,1.2660195182837464
1995-01-16,1.3967945798326427,0.7290154980464614,1.8212510043232708,1.3967945798326427,1.3967945798326427,-0.12946703097316187,-0.12946703097316187,-0.12946703097316187,-0.12946703097316187,-0.12946703097316187,-0.12946703097316187,0.0,0.0,0.0,1.2673275488594808
1995-01-23,1.3969114875537199,0.7268580243371259,1.8052491857601942,1.3969114875537199,1.3969114875537199,-0.1299486558228159,-0.1299486558228159,-0.1299486558228159,-0.1299486558228159,-0.1299486558228159,-0.1299486558228159,0.0,0.0,0.0,1.266962831730904
1995-01-30,1.397028395274797,0.7576893539308186,1.84306735935542,1.397028395274797,1.397028395274797,-0.13092926747898948,-0.13092926747898948,-0.13092926747898948,-0.13092926747898948,-0.13092926747898948,-0.13092926747898948,0.0,0.0,0.0,1.2660991277958076
1995-02-06,1.3971453029958742,0.7409352493923389,1.7785771158364625,1.3971453029958742,1.3971453029958742,-0.13055718471214223,-0.13055718471214223,-0.13055718471214223,-0.13055718471214223,-0.13055718471214223,-0.13055718471214223,0.0,0.0,0.0,1.266588118283732
1995-02-13,1.3972622107169514,0.6691036741294403,1.7929982570049896,1.3972622107169514,1.3972622107169514,-0.1262412309659534,-0.1262412309659534,-0.1262412309659534,-0.1262412309659534,-0.1262412309659534,-0.1262412309659534,0.0,0.0,0.0,1.2710209797509981
1995-02-20,1.3973791184380284,0.7019826840462899,1.8141236551494755,1.3973791184380284,1.3973791184380284,-0.11541424215242369,-0.11541424215242369,-0.11541424215242369,-0.11541424215242369,-0.11541424215242369,-0.11541424215242369,0.0,0.0,0.0,1.2819648762856048
1995-02-27,1.3974960261591056,0.7858011063624785,1.8002169450381473,1.3974960261591056,1.3974960261591056,-0.09789531685458358,-0.09789531685458358,-0.09789531685458358,-0.09789531685458358,-0.09789531685458358,-0.09789531685458358,0.0,0.0,0.0,1.299600709304522
1995-03-06,1.3976129338801828,0.7164265461014955,1.8571873034122337,1.3976129338801828,1.3976129338801828,-0.07755684889453952,-0.07755684889453952,-0.07755684889453952,-0.07755684889453952,-0.07755684889453952,-0.07755684889453952,0.0,0.0,0.0,1.3200560849856433
1995-03-13,1.39772984160126,0.7991228658901671,1.878893558971885,1.39772984160126,1.39772984160126,-0.06033674302994065,-0.06033674302994065,-0.06033674302994065,-0.06033674302994065,-0.06033674302994065,-0.06033674302994065,0.0,0.0,0.0,1.3373930985713194
1995-03-20,1.3978467493223372,0.7997967605320709,1.930624558702858,1.3978467493223372,1.3978467493223372,-0.04931028298829366,-0.04931028298829366,-0.04931028298829366,-0.04931028298829366,-0.04931028298829366,-0.04931028298829366,0.0,0.0,0.0,1.3485364663340436
1995-03-27,1.3979636570434146,0.8217925549648413,1.872060807911182,1.3979636570434146,1.3979636570434146,-0.04151431250413123,-0.04151431250413123,-0.04151431250413123,-0.04151431250413123,-0.04151431250413123,-0.04151431250413123,0.0,0.0,0.0,1.3564493445392833
1995-04-03,1.3980805647644918,0.8625076776433898,1.9334839180729242,1.3980805647644918,1.3980805647644918,-0.03022612561009654,-0.03022612561009654,-0.03022612561009654,-0.03022612561009654,-0.03022612561009654,-0.03022612561009654,0.0,0.0,0.0,1.3678544391543952
1995-04-10,1.398197472485569,0.8229125691831641,1.9884202624804796,1.398197472485569,1.398197472485569,-0.010861379533166375,-0.010861379533166375,-0.010861379533166375,-0.010861379533166375,-0.010861379533166375,-0.010861379533166375,0.0,0.0,0.0,1.3873360929524026
1995-04-17,1.398314380206646,0.8754182644890518,1.9153419545946422,1.398314380206646,1.398314380206646,0.015258460014061422,0.015258460014061422,0.015258460014061422,0.015258460014061422,0.015258460014061422,0.015258460014061422,0.0,0.0,0.0,1.4135728402207075
1995-04-24,1.3984312879277232,0.9257392137781706,1.9692232482036223,1.3984312879277232,1.3984312879277232,0.04270000802856849,0.04270000802856849,0.04270000802856849,0.04270000802856849,0.04270000802856849,0.04270000802856849,0.0,0.0,0.0,1.4411312959562916
1995-05-01,1.3985481956488004,0.9086942690504917,2.016026802426119,1.3985481956488004,1.3985481956488004,0.06679093846157537,0.06679093846157537,0.06679093846157537,0.06679093846157537,0.06679093846157537,0.06679093846157537,0.0,0.0,0.0,1.4653391341103759
1995-05-08,1.3986651033698776,0.9525738711755595,2.0737907970185905,1.3986651033698776,1.3986651033698776,0.08634364139352282,0.08634364139352282,0.08634364139352282,0.08634364139352282,0.08634364139352282,0.08634364139352282,0.0,0.0,0.0,1.4850087447634004
1995-05-15,1.3987820110909548,0.9208650150963664,2.063774805916809,1.3987820110909548,1.3987820110909548,0.10220031693759069,0.10220031693759069,0.10220031693759069,0.10220031693759069,0.10220031693759069,0.10220031693759069,0.0,0.0,0.0,1.5009823280285455
1995-05-22,1.398898918812032,0.8859419421588193,2.1027548589907794,1.398898918812032,1.398898918812032,0.11444285206407466,0.11444285206407466,0.11444285206407466,0.11444285206407466,0.11444285206407466,0.11444285206407466,0.0,0.0,0.0,1.5133417708761066
1995-05-29,1.3990158265331092,0.9924429026154535,2.0997433664651597,1.3990158265331092,1.3990158265331092,0.12189675265277586,0.12189675265277586,0.12189675265277586,0.12189675265277586,0.12189675265277586,0.12189675265277586,0.0,0.0,0.0,1.520912579185885
1995-06-05,1.3991327342541862,0.9642829021919116,2.069884260080565,1.3991327342541862,1.3991327342541862,0.12399240285433094,0.12399240285433094,0.12399240285433094,0.12399240285433094,0.12399240285433094,0.12399240285433094,0.0,0.0,0.0,1.523125137108517
1995-06-12,1.3992496419752636,0.9894228362688177,2.060052685258409,1.3992496419752636,1.3992496419752636,0.12209877754491581,0.12209877754491581,0.12209877754491581,0.12209877754491581,0.12209877754491581,0.12209877754491581,0.0,0.0,0.0,1.5213484195201794
1995-06-19,1.3993665496963408,0.9404598709407824,2.0572508800782567,1.3993665496963408,1.3993665496963408,0.11863276662317628,0.11863276662317628,0.11863276662317628,0.11863276662317628,0.11863276662317628,0.11863276662317628,0.0,0.0,0.0,1.5179993163195171
1995-06-26,1.399483457417418,0.9908284044065581,2.044628156865817,1.399483457417418,1.399483457417418,0.1153889896032763,0.1153889896032763,0.1153889896032763,0.1153889896032763,0.1153889896032763,0.1153889896032763,0.0,0.0,0.0,1.5148724470206942
1995-07-03,1.3996003651384952,0.9306486061183403,2.055170086383974,1.3996003651384952,1.3996003651384952,0.11318744422729748,0.11318744422729748,0.11318744422729748,0.11318744422729748,0.11318744422729748,0.11318744422729748,0.0,0.0,0.0,1.5127878093657927
1995-07-10,1.3997172728595724,0.9987013613578924,2.066103379603989,1.3997172728595724,1.3997172728595724,0.11254111468173422,0.11254111468173422,0.11254111468173422,0.11254111468173422,0.11254111468173422,0.11254111468173422,0.0,0.0,0.0,1.5122583875413067
1995-07-17,1.3998341805806496,0.9716474954495237,2.055692965685851,1.3998341805806496,1.3998341805806496,0.11344138931341992,0.11344138931341992,0.11344138931341992,0.11344138931341992,0.11344138931341992,0.11344138931341992,0.0,0.0,0.0,1.5132755698940694
1995-07-24,1.3999510883017268,0.9620813521853887,2.0574363147744212,1.3999510883017268,1.3999510883017268,0.11412537491269112,0.11412537491269112,0.11412537491269112,0.11412537491269112,0.11412537491269112,0.11412537491269112,0.0,0.0,0.0,1.514076463214418
1995-07-31,1.4000679960228037,0.938896626990888,2.0502770854842347,1.4000679960228037,1.4000679960228037,0.11123616733144898,0.11123616733144898,0.11123616733144898,0.11123616733144898,0.11123616733144898,0.11123616733144898,0.0,0.0,0.0,1.5113041633542528
1995-08-07,1.400184903743881,0.9653316227589336,2.0212831405015046,1.400184903743881,1.400184903743881,0.10282773411041418,0.10282773411041418,0.10282773411041418,0.10282773411041418,0.10282773411041418,0.10282773411041418,0.0,0.0,0.0,1.5030126378542952
1995-08-14,1.4003018114649581,0.953230791282828,2.0979184264260162,1.4003018114649581,1.4003018114649581,0.09158039806909889,0.09158039806909889,0.09158039806909889,0.09158039806909889,0.09158039806909889,0.09158039806909889,0.0,0.0,0.0,1.491882209534057
1995-08-21,1.4004187191860356,1.0015679710475422,2.047143238890093,1.4004187191860356,1.4004187191860356,0.08377964948729148,0.08377964948729148,0.08377964948729148,0.08377964948729148,0.08377964948729148,0.08377964948729148,0.0,0.0,0.0,1.484198368673327
1995-08-28,1.4005356269071128,0.9521992973131146,2.046794123884804,1.4005356269071128,1.4005356269071128,0.08356666758500195,0.08356666758500195,0.08356666758500195,0.08356666758500195,0.08356666758500195,0.08356666758500195,0.0,0.0,0.0,1.4841022944921147
1995-09-04,1.40065253462819,0.9565883987589651,2.056322347046108,1.40065253462819,1.40065253462819,0.08787200244152064,0.08787200244152064,0.08787200244152064,0.08787200244152064,0.08787200244152064,0.08787200244152064,0.0,0.0,0.0,1.4885245370697107
1995-09-11,1.4007694423492671,0.9249148093847853,2.0314260142359393,1.4007694423492671,1.4007694423492671,0.08796246218402297,0.08796246218402297,0.08796246218402297,0.08796246218402297,0.08796246218402297,0.08796246218402297,0.0,0.0,0.0,1.48873190453329
1995-09-18,1.4008863500703443,0.9666593315384056,2.058075472003258,1.4008863500703443,1.4008863500703443,0.07695524315909114,0.07695524315909114,0.07695524315909114,0.07695524315909114,0.07695524315909114,0.07695524315909114,0.0,0.0,0.0,1.4778415932294355
1995-09-25,1.4010032577914213,0.9287563126271147,2.004881650299794,1.4010032577914213,1.4010032577914213,0.05592790085931246,0.05592790085931246,0.05592790085931246,0.05592790085931246,0.05592790085931246,0.05592790085931246,0.0,0.0,0.0,1.4569311586507339
1995-10-02,1.4011201655124985,0.915345636195887,2.0121998038284126,1.4011201655124985,1.4011201655124985,0.03231371740000085,0.03231371740000085,0.03231371740000085,0.03231371740000085,0.03231371740000085,0.03231371740000085,0.0,0.0,0.0,1.4334338829124993
1995-10-09,1.4012370732335757,0.8858937164591839,1.9837353948826757,1.4012370732335757,1.4012370732335757,0.01242419362965574,0.01242419362965574,0.01242419362965574,0.01242419362965574,0.01242419362965574,0.01242419362965574,0.0,0.0,0.0,1.4136612668632313
1995-10-16,1.4013539808616255,0.8510070712906697,1.9824703467167455,1.4013539808616255,1.4013539808616255,-0.0038625205299472323,-0.0038625205299472323,-0.0038625205299472323,-0.0038625205299472323,-0.0038625205299472323,-0.0038625205299472323,0.0,0.0,0.0,1.3974914603316784
1995-10-23,1.4014708884896752,0.8381829694638555,1.9439361516310776,1.4014708884896752,1.4014708884896752,-0.02097613113689573,-0.02097613113689573,-0.02097613113689573,-0.02097613113689573,-0.02097613113689573,-0.02097613113689573,0.0,0.0,0.0,1.3804947573527795
1995-10-30,1.401587796117725,0.8208223825971501,1.9413548638118536,1.401587796117725,1.401587796117725,-0.041266099705575904,-0.041266099705575904,-0.041266099705575904,-0.041266099705575904,-0.041266099705575904,-0.041266099705575904,0.0,0.0,0.0,1.3603216964121492
1995-11-06,1.4017047037457746,0.7893688606758046,1.8463256970230966,1.4017047037457746,1.4017047037457746,-0.0619167230936212,-0.0619167230936212,-0.0619167230936212,-0.0619167230936212,-0.0619167230936212,-0.0619167230936212,0.0,0.0,0.0,1.3397879806521533
1995-11-13,1.4018216113738244,0.8021633493840111,1.8666978879154794,1.4018216113738244,1.4018216113738244,-0.07831743747198901,-0.07831743747198901,-0.07831743747198901,-0.07831743747198901,-0.07831743747198901,-0.07831743747198901,0.0,0.0,0.0,1.3235041739018354
1995-11-20,1.4019385190018738,0.7737672884773831,1.8392322399247614,1.4019385190018738,1.4019385190018738,-0.0894013390848564,-0.0894013390848564,-0.0894013390848564,-0.0894013390848564,-0.0894013390848564,-0.0894013390848564,0.0,0.0,0.0,1.3125371799170173
1995-11-27,1.4020554266299237,0.7689736108502562,1.8533029350629853,1.4020554266299237,1.4020554266299237,-0.09857062959193856,-0.09857062959193856,-0.09857062959193856,-0.09857062959193856,-0.09857062959193856,-0.09857062959193856,0.0,0.0,0.0,1.303484797037985
1995-12-04,1.4021723342579733,0.7473403061104089,1.87270694198766,1.4021723342579733,1.4021723342579733,-0.10942423493479109,-0.10942423493479109,-0.10942423493479109,-0.10942423493479109,-0.10942423493479109,-0.10942423493479109,0.0,0.0,0.0,1.2927480993231821
1995-12-11,1.402289241886023,0.7620667282085809,1.779128468511714,1.402289241886023,1.402289241886023,-0.12153920307064069,-0.12153920307064069,-0.12153920307064069,-0.12153920307064069,-0.12153920307064069,-0.12153920307064069,0.0,0.0,0.0,1.2807500388153825
1995-12-18,1.4024061495140727,0.7509326570502062,1.8456158353144538,1.4024061495140727,1.4024061495140727,-0.1310438352560089,-0.1310438352560089,-0.1310438352560089,-0.1310438352560089,-0.1310438352560089,-0.1310438352560089,0.0,0.0,0.0,1.271362314258064
1995-12-25,1.4025230571421226,0.7289397339610615,1.7998139976599883,1.4025230571421226,1.4025230571421226,-0.13488317322903398,-0.13488317322903398,-0.13488317322903398,-0.13488317322903398,-0.13488317322903398,-0.13488317322903398,0.0,0.0,0.0,1.2676398839130885
1996-01-01,1.4026399647701722,0.7396919496748786,1.7839710411899825,1.4026399647701722,1.4026399647701722,-0.1337752688295224,-0.1337752688295224,-0.1337752688295224,-0.1337752688295224,-0.1337752688295224,-0.1337752688295224,0.0,0.0,0.0,1.2688646959406498
