ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1994-11-28,1.2294956917152788,0.5296297473648983,1.6728357902971052,1.2294956917152788,1.2294956917152788,-0.11631323079395992,-0.11631323079395992,-0.11631323079395992,-0.11631323079395992,-0.11631323079395992,-0.11631323079395992,0.0,0.0,0.0,1.113182460921319
1994-12-05,1.2301375541787063,0.49321503060001615,1.6497848686791612,1.2301375541787063,1.2301375541787063,-0.1454602886471532,-0.1454602886471532,-0.1454602886471532,-0.1454602886471532,-0.1454602886471532,-0.1454602886471532,0.0,0.0,0.0,1.084677265531553
1994-12-12,1.2307794166421335,0.45525257902182537,1.608202802267148,1.2307794166421335,1.2307794166421335,-0.17661866102318705,-0.17661866102318705,-0.17661866102318705,-0.17661866102318705,-0.17661866102318705,-0.17661866102318705,0.0,0.0,0.0,1.0541607556189465
1994-12-19,1.231421279105561,0.4613154242880775,1.6124072503641422,1.231421279105561,1.231421279105561,-0.2052484265071415,-0.2052484265071415,-0.2052484265071415,-0.2052484265071415,-0.2052484265071415,-0.2052484265071415,0.0,0.0,0.0,1.0261728525984195
1994-12-26,1.2320631415689884,0.4063643434821081,1.5398202208361396,1.2320631415689884,1.2320631415689884,-0.22705694970495505,-0.22705694970495505,-0.22705694970495505,-0.22705694970495505,-0.22705694970495505,-0.22705694970495505,0.0,0.0,0.0,1.0050061918640334
1995-01-02,1.232705004032416,0.4038770291143104,1.5860725660359576,1.232705004032416,1.232705004032416,-0.2411878338789152,-0.2411878338789152,-0.2411878338789152,-0.2411878338789152,-0.2411878338789152,-0.2411878338789152,0.0,0.0,0.0,0.9915171701535007
1995-01-09,1.2333468664958434,0.4326934726654146,1.559727712532039,1.2333468664958434,1.2333468664958434,-0.24923304125600182,-0.24923304125600182,-0.24923304125600182,-0.24923304125600182,-0.24923304125600182,-0.24923304125600182,0.0,0.0,0.0,0.9841138252398416
1995-01-16,1.2339887289592708,0.3638316846164729,1.569655258568742,1.2339887289592708,1.2339887289592708,-0.2524641903594192,-0.2524641903594192,-0.2524641903594192,-0.2524641903594192,-0.2524641903594192,-0.2524641903594192,0.0,0.0,0.0,0.9815245385998517
1995-01-23,1.2346305914226983,0.3679682590370945,1.6112038152205435,1.2346305914226983,1.2346305914226983,-0.2510914172325234,-0.2510914172325234,-0.2510914172325234,-0.2510914172325234,-0.2510914172325234,-0.2510914172325234,0.0,0.0,0.0,0.9835391741901749
1995-01-30,1.2352724538861255,0.416042974686744,1.5988787274371858,1.2352724538861255,1.2352724538861255,-0.2455495582257769,-0.2455495582257769,-0.2455495582257769,-0.2455495582257769,-0.2455495582257769,-0.2455495582257769,0.0,0.0,0.0,0.9897228956603485
