,ds,y
0,1986-01-06,25.78
1,1986-01-13,25.99
2,1986-01-20,24.57
3,1986-01-27,20.31
4,1986-02-03,19.69
5,1986-02-10,16.72
6,1986-02-17,16.25
7,1986-02-24,14.39
8,1986-03-03,14.25
9,1986-03-10,12.27
10,1986-03-17,13.07
11,1986-03-24,13.45
12,1986-03-31,12.0
13,1986-04-07,11.44
14,1986-04-14,13.46
15,1986-04-21,12.16
16,1986-04-28,13.44
17,1986-05-05,13.76
18,1986-05-12,15.08
19,1986-05-19,15.74
20,1986-05-26,16.37
21,1986-06-02,14.64
22,1986-06-09,13.25
23,1986-06-16,13.21
24,1986-06-23,13.82
25,1986-06-30,13.56
26,1986-07-07,12.23
27,1986-07-14,11.13
28,1986-07-21,12.17
29,1986-07-28,11.31
30,1986-08-04,11.45
31,1986-08-11,14.63
32,1986-08-18,15.39
33,1986-08-25,15.3
34,1986-09-01,15.77
35,1986-09-08,16.07
36,1986-09-15,15.13
37,1986-09-22,14.23
38,1986-09-29,14.3
39,1986-10-06,15.02
40,1986-10-13,15.16
41,1986-10-20,14.69
42,1986-10-27,15.01
43,1986-11-03,14.53
44,1986-11-10,14.98
45,1986-11-17,15.45
46,1986-11-24,15.4
47,1986-12-01,15.01
48,1986-12-08,15.2
49,1986-12-15,15.34
50,1986-12-22,16.23
51,1986-12-29,17.05
52,1987-01-05,17.86
53,1987-01-12,18.38
54,1987-01-19,19.04
55,1987-01-26,18.68
56,1987-02-02,18.62
57,1987-02-09,18.45
58,1987-02-16,18.14
59,1987-02-23,17.63
60,1987-03-02,16.75
61,1987-03-09,17.47
62,1987-03-16,18.31
63,1987-03-23,18.72
64,1987-03-30,18.59
65,1987-04-06,18.77
66,1987-04-13,18.6
67,1987-04-20,18.3
68,1987-04-27,18.94
69,1987-05-04,18.76
70,1987-05-11,19.14
71,1987-05-18,19.52
72,1987-05-25,19.85
73,1987-06-01,19.34
74,1987-06-08,19.73
75,1987-06-15,19.88
76,1987-06-22,20.38
77,1987-06-29,20.21
78,1987-07-06,20.46
79,1987-07-13,21.06
80,1987-07-20,22.03
81,1987-07-27,21.5
82,1987-08-03,21.25
83,1987-08-10,21.52
84,1987-08-17,20.8
85,1987-08-24,19.61
86,1987-08-31,19.42
87,1987-09-07,19.56
88,1987-09-14,19.38
89,1987-09-21,19.63
90,1987-09-28,19.57
91,1987-10-05,19.64
92,1987-10-12,19.65
93,1987-10-19,19.82
94,1987-10-26,19.98
95,1987-11-02,20.03
96,1987-11-09,19.17
97,1987-11-16,18.88
98,1987-11-23,18.6
99,1987-11-30,18.83
100,1987-12-07,18.62
101,1987-12-14,18.34
102,1987-12-21,16.35
103,1987-12-28,16.23
104,1988-01-04,16.78
105,1988-01-11,17.6
106,1988-01-18,16.79
107,1988-01-25,17.2
108,1988-02-01,16.92
109,1988-02-08,17.08
110,1988-02-15,17.24
111,1988-02-22,16.7
112,1988-02-29,16.33
113,1988-03-07,15.64
114,1988-03-14,15.74
115,1988-03-21,16.08
116,1988-03-28,16.58
117,1988-04-04,17.07
118,1988-04-11,16.89
119,1988-04-18,18.15
120,1988-04-25,18.16
121,1988-05-02,18.25
122,1988-05-09,17.34
123,1988-05-16,17.51
124,1988-05-23,17.53
125,1988-05-30,17.29
126,1988-06-06,17.55
127,1988-06-13,17.15
128,1988-06-20,16.58
129,1988-06-27,15.95
130,1988-07-04,15.47
131,1988-07-11,15.45
132,1988-07-18,14.64
133,1988-07-25,15.86
134,1988-08-01,16.14
135,1988-08-08,15.45
136,1988-08-15,15.67
137,1988-08-22,15.58
138,1988-08-29,15.54
139,1988-09-05,15.13
140,1988-09-12,14.4
141,1988-09-19,14.75
142,1988-09-26,14.9
143,1988-10-03,13.94
144,1988-10-10,12.85
145,1988-10-17,14.08
146,1988-10-24,14.76
147,1988-10-31,13.44
148,1988-11-07,13.75
149,1988-11-14,13.93
150,1988-11-21,13.75
151,1988-11-28,14.43
152,1988-12-05,15.33
153,1988-12-12,15.61
154,1988-12-19,16.31
155,1988-12-26,17.04
156,1989-01-02,16.99
157,1989-01-09,17.35
158,1989-01-16,18.06
159,1989-01-23,19.05
160,1989-01-30,17.85
161,1989-02-06,17.41
162,1989-02-13,17.39
163,1989-02-20,18.08
164,1989-02-27,18.46
165,1989-03-06,18.4
166,1989-03-13,18.5
167,1989-03-20,19.71
168,1989-03-27,20.0
169,1989-04-03,20.4
170,1989-04-10,20.11
171,1989-04-17,20.56
172,1989-04-24,22.73
173,1989-05-01,20.87
174,1989-05-08,20.23
175,1989-05-15,19.75
176,1989-05-22,20.42
177,1989-05-29,20.28
178,1989-06-05,19.89
179,1989-06-12,20.08
180,1989-06-19,19.94
181,1989-06-26,19.95
182,1989-07-03,20.25
183,1989-07-10,20.59
184,1989-07-17,20.42
185,1989-07-24,20.06
186,1989-07-31,18.34
187,1989-08-07,18.15
188,1989-08-14,18.25
189,1989-08-21,18.77
190,1989-08-28,18.96
191,1989-09-04,18.77
192,1989-09-11,19.31
193,1989-09-18,19.8
194,1989-09-25,19.63
195,1989-10-02,19.77
196,1989-10-09,20.03
197,1989-10-16,20.37
198,1989-10-23,20.46
199,1989-10-30,19.65
200,1989-11-06,19.99
201,1989-11-13,19.89
202,1989-11-20,19.74
203,1989-11-27,20.02
204,1989-12-04,19.7
205,1989-12-11,20.36
206,1989-12-18,20.81
207,1989-12-25,21.76
208,1990-01-01,21.78
209,1990-01-08,23.29
210,1990-01-15,22.62
211,1990-01-22,22.71
212,1990-01-29,23.08
213,1990-02-05,22.7
214,1990-02-12,22.23
215,1990-02-19,22.27
216,1990-02-26,21.81
217,1990-03-05,21.51
218,1990-03-12,21.01
219,1990-03-19,20.19
220,1990-03-26,19.73
221,1990-04-02,20.26
222,1990-04-09,19.83
223,1990-04-16,17.96
224,1990-04-23,17.6
225,1990-04-30,18.2
226,1990-05-07,18.37
227,1990-05-14,18.71
228,1990-05-21,19.19
229,1990-05-28,16.83
230,1990-06-04,17.72
231,1990-06-11,16.77
232,1990-06-18,17.11
233,1990-06-25,15.9
234,1990-07-02,16.84
235,1990-07-09,16.68
236,1990-07-16,17.64
237,1990-07-23,18.83
238,1990-07-30,19.89
239,1990-08-06,21.98
240,1990-08-13,27.32
241,1990-08-20,27.27
242,1990-08-27,30.08
243,1990-09-03,27.13
244,1990-09-10,29.67
245,1990-09-17,30.99
246,1990-09-24,34.21
247,1990-10-01,39.16
248,1990-10-08,36.64
249,1990-10-15,39.88
250,1990-10-22,36.84
251,1990-10-29,31.32
252,1990-11-05,34.95
253,1990-11-12,33.89
254,1990-11-19,31.5
255,1990-11-26,30.69
256,1990-12-03,32.32
257,1990-12-10,27.72
258,1990-12-17,26.39
259,1990-12-24,27.56
260,1990-12-31,27.21
261,1991-01-07,26.38
262,1991-01-14,27.55
263,1991-01-21,26.85
264,1991-01-28,24.08
265,1991-02-04,21.41
266,1991-02-11,21.3
267,1991-02-18,22.12
268,1991-02-25,19.38
269,1991-03-04,18.73
270,1991-03-11,19.86
271,1991-03-18,19.89
272,1991-03-25,20.3
273,1991-04-01,19.58
274,1991-04-08,19.63
275,1991-04-15,20.89
276,1991-04-22,21.48
277,1991-04-29,21.19
278,1991-05-06,21.23
279,1991-05-13,21.69
280,1991-05-20,20.95
281,1991-05-27,21.04
282,1991-06-03,21.21
283,1991-06-10,20.63
284,1991-06-17,19.84
285,1991-06-24,20.08
286,1991-07-01,20.21
287,1991-07-08,20.8
288,1991-07-15,21.43
289,1991-07-22,21.91
290,1991-07-29,21.4
291,1991-08-05,21.46
292,1991-08-12,21.5
293,1991-08-19,21.44
294,1991-08-26,21.99
295,1991-09-02,21.98
296,1991-09-09,21.84
297,1991-09-16,21.54
298,1991-09-23,21.85
299,1991-09-30,22.24
300,1991-10-07,22.41
301,1991-10-14,23.08
302,1991-10-21,23.82
303,1991-10-28,23.46
304,1991-11-04,23.32
305,1991-11-11,23.47
306,1991-11-18,22.57
307,1991-11-25,22.04
308,1991-12-02,21.49
309,1991-12-09,20.55
310,1991-12-16,19.64
311,1991-12-23,19.2
312,1991-12-30,18.68
313,1992-01-06,19.11
314,1992-01-13,18.41
315,1992-01-20,18.81
316,1992-01-27,18.66
317,1992-02-03,19.05
318,1992-02-10,19.42
319,1992-02-17,19.49
320,1992-02-24,18.62
321,1992-03-02,18.51
322,1992-03-09,18.55
323,1992-03-16,18.76
324,1992-03-23,19.1
325,1992-03-30,19.09
326,1992-04-06,19.73
327,1992-04-13,20.43
328,1992-04-20,20.06
329,1992-04-27,20.06
330,1992-05-04,20.63
331,1992-05-11,20.86
332,1992-05-18,20.8
333,1992-05-25,20.49
334,1992-06-01,21.98
335,1992-06-08,22.38
336,1992-06-15,22.35
337,1992-06-22,22.26
338,1992-06-29,22.68
339,1992-07-06,22.03
340,1992-07-13,21.48
341,1992-07-20,21.58
342,1992-07-27,21.95
343,1992-08-03,21.95
344,1992-08-10,21.34
345,1992-08-17,21.18
346,1992-08-24,21.39
347,1992-08-31,21.43
348,1992-09-07,21.66
349,1992-09-14,21.94
350,1992-09-21,22.21
351,1992-09-28,21.71
352,1992-10-05,21.81
353,1992-10-12,21.9
354,1992-10-19,22.25
355,1992-10-26,21.58
356,1992-11-02,20.95
357,1992-11-09,20.52
358,1992-11-16,20.37
359,1992-11-23,20.35
360,1992-11-30,20.16
361,1992-12-07,19.38
362,1992-12-14,19.01
363,1992-12-21,19.38
364,1992-12-28,19.91
365,1993-01-04,19.63
366,1993-01-11,19.0
367,1993-01-18,18.62
368,1993-01-25,18.61
369,1993-02-01,19.9
370,1993-02-08,20.22
371,1993-02-15,20.13
372,1993-02-22,19.51
373,1993-03-01,20.4
374,1993-03-08,20.69
375,1993-03-15,20.45
376,1993-03-22,20.14
377,1993-03-29,20.0
378,1993-04-05,20.44
379,1993-04-12,20.37
380,1993-04-19,20.28
381,1993-04-26,19.95
382,1993-05-03,20.3
383,1993-05-10,20.47
384,1993-05-17,20.06
385,1993-05-24,19.43
386,1993-05-31,19.84
387,1993-06-07,19.95
388,1993-06-14,19.43
389,1993-06-21,18.76
390,1993-06-28,18.52
391,1993-07-05,18.61
392,1993-07-12,18.02
393,1993-07-19,17.72
394,1993-07-26,17.54
395,1993-08-02,18.18
396,1993-08-09,17.67
397,1993-08-16,17.87
398,1993-08-23,17.84
399,1993-08-30,18.49
400,1993-09-06,18.1
401,1993-09-13,16.96
402,1993-09-20,16.94
403,1993-09-27,17.67
404,1993-10-04,18.33
405,1993-10-11,18.46
406,1993-10-18,18.57
407,1993-10-25,18.12
408,1993-11-01,17.37
409,1993-11-08,17.29
410,1993-11-15,16.71
411,1993-11-22,16.75
412,1993-11-29,16.08
413,1993-12-06,15.21
414,1993-12-13,14.68
415,1993-12-20,14.31
416,1993-12-27,14.4
417,1994-01-03,14.21
418,1994-01-10,15.03
419,1994-01-17,14.67
420,1994-01-24,15.02
421,1994-01-31,15.34
422,1994-02-07,15.76
423,1994-02-14,14.87
424,1994-02-21,14.13
425,1994-02-28,14.44
426,1994-03-07,14.68
427,1994-03-14,14.24
428,1994-03-21,14.82
429,1994-03-28,15.15
430,1994-04-04,14.44
431,1994-04-11,15.65
432,1994-04-18,16.07
433,1994-04-25,17.02
434,1994-05-02,16.93
435,1994-05-09,17.2
436,1994-05-16,17.93
437,1994-05-23,18.21
438,1994-05-30,18.14
439,1994-06-06,18.24
440,1994-06-13,18.26
441,1994-06-20,19.61
442,1994-06-27,19.8
443,1994-07-04,19.16
444,1994-07-11,19.39
445,1994-07-18,20.16
446,1994-07-25,19.39
447,1994-08-01,19.66
448,1994-08-08,20.09
449,1994-08-15,18.88
450,1994-08-22,17.85
451,1994-08-29,17.23
452,1994-09-05,17.52
453,1994-09-12,17.65
454,1994-09-19,16.93
455,1994-09-26,17.38
456,1994-10-03,17.83
457,1994-10-10,18.13
458,1994-10-17,17.37
459,1994-10-24,17.35
460,1994-10-31,17.93
461,1994-11-07,18.69
462,1994-11-14,18.25
463,1994-11-21,17.51
464,1994-11-28,17.73
465,1994-12-05,17.78
466,1994-12-12,16.99
467,1994-12-19,16.86
468,1994-12-26,17.1
469,1995-01-02,17.71
470,1995-01-09,17.62
471,1995-01-16,17.55
472,1995-01-23,18.45
473,1995-01-30,18.34
474,1995-02-06,18.5
475,1995-02-13,18.42
476,1995-02-20,18.55
477,1995-02-27,18.75
478,1995-03-06,18.5
479,1995-03-13,18.27
480,1995-03-20,18.13
481,1995-03-27,18.69
482,1995-04-03,19.12
483,1995-04-10,19.43
484,1995-04-17,19.53
485,1995-04-24,20.26
486,1995-05-01,20.29
487,1995-05-08,20.24
488,1995-05-15,19.74
489,1995-05-22,19.98
490,1995-05-29,19.37
491,1995-06-05,18.92
492,1995-06-12,19.05
493,1995-06-19,18.91
494,1995-06-26,17.88
495,1995-07-03,17.71
496,1995-07-10,17.28
497,1995-07-17,17.34
498,1995-07-24,17.21
499,1995-07-31,17.41
500,1995-08-07,17.72
501,1995-08-14,17.81
502,1995-08-21,17.6
503,1995-08-28,19.02
504,1995-09-04,17.88
505,1995-09-11,18.37
506,1995-09-18,18.72
507,1995-09-25,18.32
508,1995-10-02,17.55
509,1995-10-09,17.29
510,1995-10-16,17.28
511,1995-10-23,17.51
512,1995-10-30,17.56
513,1995-11-06,17.79
514,1995-11-13,17.76
515,1995-11-20,18.06
516,1995-11-27,17.99
517,1995-12-04,18.32
518,1995-12-11,18.74
519,1995-12-18,19.02
520,1995-12-25,19.12
521,1996-01-01,19.44
522,1996-01-08,19.99
523,1996-01-15,19.43
524,1996-01-22,18.64
525,1996-01-29,18.35
526,1996-02-05,17.64
527,1996-02-12,17.72
528,1996-02-19,18.8
529,1996-02-26,21.45
530,1996-03-04,19.49
531,1996-03-11,19.72
532,1996-03-18,20.8
533,1996-03-25,23.16
534,1996-04-01,22.03
535,1996-04-08,22.49
536,1996-04-15,23.95
537,1996-04-22,24.34
538,1996-04-29,23.8
539,1996-05-06,21.16
540,1996-05-13,20.98
541,1996-05-20,21.06
542,1996-05-27,22.24
543,1996-06-03,20.37
544,1996-06-10,20.04
545,1996-06-17,20.15
546,1996-06-24,20.95
547,1996-07-01,20.55
548,1996-07-08,21.4
549,1996-07-15,21.65
550,1996-07-22,21.8
551,1996-07-29,20.96
552,1996-08-05,20.66
553,1996-08-12,21.35
554,1996-08-19,22.25
555,1996-08-26,22.5
556,1996-09-02,21.82
557,1996-09-09,23.48
558,1996-09-16,24.42
559,1996-09-23,23.52
560,1996-09-30,24.33
561,1996-10-07,24.44
562,1996-10-14,24.93
563,1996-10-21,25.45
564,1996-10-28,25.15
565,1996-11-04,23.91
566,1996-11-11,22.92
567,1996-11-18,23.9
568,1996-11-25,24.03
569,1996-12-02,24.21
570,1996-12-09,25.14
571,1996-12-16,24.2
572,1996-12-23,26.02
573,1996-12-30,25.44
574,1997-01-06,25.59
575,1997-01-13,26.3
576,1997-01-20,25.42
577,1997-01-27,24.4
578,1997-02-03,24.24
579,1997-02-10,23.49
580,1997-02-17,22.21
581,1997-02-24,22.18
582,1997-03-03,20.83
583,1997-03-10,20.77
584,1997-03-17,20.64
585,1997-03-24,21.72
586,1997-03-31,20.83
587,1997-04-07,19.76
588,1997-04-14,19.38
589,1997-04-21,19.65
590,1997-04-28,19.85
591,1997-05-05,19.99
592,1997-05-12,19.94
593,1997-05-19,21.45
594,1997-05-26,21.43
595,1997-06-02,20.9
596,1997-06-09,20.12
597,1997-06-16,18.88
598,1997-06-23,18.93
599,1997-06-30,19.0
600,1997-07-07,19.95
601,1997-07-14,19.44
602,1997-07-21,19.49
603,1997-07-28,19.52
604,1997-08-04,20.13
605,1997-08-11,20.35
606,1997-08-18,19.99
607,1997-08-25,19.92
608,1997-09-01,19.5
609,1997-09-08,19.61
610,1997-09-15,19.44
611,1997-09-22,19.44
612,1997-09-29,20.12
613,1997-10-06,21.62
614,1997-10-13,22.01
615,1997-10-20,21.03
616,1997-10-27,21.0
617,1997-11-03,20.92
618,1997-11-10,20.65
619,1997-11-17,20.66
620,1997-11-24,19.81
621,1997-12-01,19.3
622,1997-12-08,18.69
623,1997-12-15,18.44
624,1997-12-22,18.31
625,1997-12-29,18.31
626,1998-01-05,17.58
627,1998-01-12,16.83
628,1998-01-19,16.47
629,1998-01-26,16.02
630,1998-02-02,17.3
631,1998-02-09,16.65
632,1998-02-16,16.25
633,1998-02-23,16.03
634,1998-03-02,15.3
635,1998-03-09,15.23
636,1998-03-16,14.4
637,1998-03-23,14.04
638,1998-03-30,16.42
639,1998-04-06,15.98
640,1998-04-13,15.55
641,1998-04-20,15.53
642,1998-04-27,14.5
643,1998-05-04,15.71
644,1998-05-11,15.48
645,1998-05-18,15.03
646,1998-05-25,13.91
647,1998-06-01,14.99
648,1998-06-08,15.02
649,1998-06-15,13.42
650,1998-06-22,12.04
651,1998-06-29,14.17
652,1998-07-06,14.41
653,1998-07-13,13.94
654,1998-07-20,14.48
655,1998-07-27,13.89
656,1998-08-03,14.24
657,1998-08-10,13.83
658,1998-08-17,13.12
659,1998-08-24,13.33
660,1998-08-31,13.65
661,1998-09-07,13.98
662,1998-09-14,14.45
663,1998-09-21,14.88
664,1998-09-28,15.78
665,1998-10-05,15.83
666,1998-10-12,15.02
667,1998-10-19,14.21
668,1998-10-26,13.81
669,1998-11-02,14.34
670,1998-11-09,14.13
671,1998-11-16,13.63
672,1998-11-23,12.4
673,1998-11-30,11.62
674,1998-12-07,11.28
675,1998-12-14,11.16
676,1998-12-21,11.5
677,1998-12-28,11.0
678,1999-01-04,11.83
679,1999-01-11,12.67
680,1999-01-18,12.62
681,1999-01-25,12.26
682,1999-02-01,12.46
683,1999-02-08,12.16
684,1999-02-15,11.81
685,1999-02-22,11.66
686,1999-03-01,12.36
687,1999-03-08,12.9
688,1999-03-15,14.19
689,1999-03-22,14.91
690,1999-03-29,15.55
691,1999-04-05,16.61
692,1999-04-12,16.45
693,1999-04-19,16.77
694,1999-04-26,17.93
695,1999-05-03,18.23
696,1999-05-10,18.62
697,1999-05-17,18.0
698,1999-05-24,17.18
699,1999-05-31,17.07
700,1999-06-07,16.77
701,1999-06-14,17.96
702,1999-06-21,18.21
703,1999-06-28,18.05
704,1999-07-05,19.04
705,1999-07-12,19.87
706,1999-07-19,20.21
707,1999-07-26,19.89
708,1999-08-02,20.62
709,1999-08-09,20.54
710,1999-08-16,21.44
711,1999-08-23,21.62
712,1999-08-30,21.21
713,1999-09-06,21.88
714,1999-09-13,23.0
715,1999-09-20,24.28
716,1999-09-27,24.53
717,1999-10-04,24.58
718,1999-10-11,22.72
719,1999-10-18,22.54
720,1999-10-25,22.65
721,1999-11-01,22.5
722,1999-11-08,22.72
723,1999-11-15,24.22
724,1999-11-22,26.05
725,1999-11-29,27.35
726,1999-12-06,25.46
727,1999-12-13,26.19
728,1999-12-20,26.2
729,1999-12-27,26.07
730,2000-01-03,26.34
731,2000-01-10,24.95
732,2000-01-17,26.27
733,2000-01-24,29.37
734,2000-01-31,28.34
735,2000-02-07,28.08
736,2000-02-14,28.83
737,2000-02-21,29.87
738,2000-02-28,30.1
739,2000-03-06,31.07
740,2000-03-13,32.14
741,2000-03-20,31.29
742,2000-03-27,27.99
743,2000-04-03,26.92
744,2000-04-10,25.6
745,2000-04-17,24.87
746,2000-04-24,26.66
747,2000-05-01,25.95
748,2000-05-08,26.75
749,2000-05-15,28.7
750,2000-05-22,29.88
751,2000-05-29,29.46
752,2000-06-05,29.98
753,2000-06-12,29.79
754,2000-06-19,32.45
755,2000-06-26,33.55
756,2000-07-03,32.12
757,2000-07-10,30.4
758,2000-07-17,30.44
759,2000-07-24,30.65
760,2000-07-31,28.02
761,2000-08-07,28.5
762,2000-08-14,30.14
763,2000-08-21,31.82
764,2000-08-28,32.46
765,2000-09-04,33.08
766,2000-09-11,34.42
767,2000-09-18,34.7
768,2000-09-25,35.49
769,2000-10-02,31.13
770,2000-10-09,31.27
771,2000-10-16,33.9
772,2000-10-23,33.48
773,2000-10-30,33.92
774,2000-11-06,32.78
775,2000-11-13,33.46
776,2000-11-20,35.0
777,2000-11-27,35.91
778,2000-12-04,34.1
779,2000-12-11,29.69
780,2000-12-18,29.05
781,2000-12-25,27.38
782,2001-01-01,26.52
783,2001-01-08,27.8
784,2001-01-15,28.81
785,2001-01-22,30.63
786,2001-01-29,31.35
787,2001-02-05,29.59
788,2001-02-12,30.92
789,2001-02-19,29.67
790,2001-02-26,28.65
791,2001-03-05,27.91
792,2001-03-12,28.45
793,2001-03-19,27.02
794,2001-03-26,26.42
795,2001-04-02,26.86
796,2001-04-09,26.76
797,2001-04-16,28.27
798,2001-04-23,27.89
799,2001-04-30,26.99
800,2001-05-07,28.36
801,2001-05-14,28.12
802,2001-05-21,29.08
803,2001-05-28,28.92
804,2001-06-04,28.44
805,2001-06-11,27.98
806,2001-06-18,28.9
807,2001-06-25,27.09
808,2001-07-02,26.37
809,2001-07-09,26.87
810,2001-07-16,27.07
811,2001-07-23,25.26
812,2001-07-30,26.5
813,2001-08-06,27.1
814,2001-08-13,27.87
815,2001-08-20,27.52
816,2001-08-27,27.25
817,2001-09-03,26.84
818,2001-09-10,27.38
819,2001-09-17,28.22
820,2001-09-24,27.09
821,2001-10-01,22.35
822,2001-10-08,22.6
823,2001-10-15,22.66
824,2001-10-22,21.92
825,2001-10-29,21.78
826,2001-11-05,21.17
827,2001-11-12,20.7
828,2001-11-19,19.61
829,2001-11-26,18.28
830,2001-12-03,19.13
831,2001-12-10,19.47
832,2001-12-17,18.45
833,2001-12-24,19.2
834,2001-12-31,20.94
835,2002-01-07,20.8
836,2002-01-14,20.54
837,2002-01-21,18.61
838,2002-01-28,19.21
839,2002-02-04,19.71
840,2002-02-11,19.97
841,2002-02-18,21.18
842,2002-02-25,20.7
843,2002-03-04,21.43
844,2002-03-11,23.31
845,2002-03-18,24.4
846,2002-03-25,25.25
847,2002-04-01,25.86
848,2002-04-08,26.99
849,2002-04-15,25.24
850,2002-04-22,25.54
851,2002-04-29,26.46
852,2002-05-06,26.88
853,2002-05-13,27.27
854,2002-05-20,28.43
855,2002-05-27,27.18
856,2002-06-03,25.22
857,2002-06-10,25.01
858,2002-06-17,24.94
859,2002-06-24,25.61
860,2002-07-01,26.52
861,2002-07-08,26.81
862,2002-07-15,26.7
863,2002-07-22,27.62
864,2002-07-29,26.64
865,2002-08-05,26.87
866,2002-08-12,26.77
867,2002-08-19,28.52
868,2002-08-26,30.09
869,2002-09-02,28.84
870,2002-09-09,28.65
871,2002-09-16,29.59
872,2002-09-23,29.39
873,2002-09-30,30.63
874,2002-10-07,30.25
875,2002-10-14,29.37
876,2002-10-21,29.65
877,2002-10-28,27.88
878,2002-11-04,27.03
879,2002-11-11,25.97
880,2002-11-18,25.68
881,2002-11-25,26.98
882,2002-12-02,26.83
883,2002-12-09,27.14
884,2002-12-16,27.82
885,2002-12-23,30.35
886,2002-12-30,32.38
887,2003-01-06,31.96
888,2003-01-13,31.54
889,2003-01-20,33.04
890,2003-01-27,34.46
891,2003-02-03,33.19
892,2003-02-10,33.95
893,2003-02-17,35.79
894,2003-02-24,36.78
895,2003-03-03,36.98
896,2003-03-10,36.98
897,2003-03-17,36.66
898,2003-03-24,30.46
899,2003-03-31,30.43
900,2003-04-07,29.33
901,2003-04-14,28.03
902,2003-04-21,29.28
903,2003-04-28,28.43
904,2003-05-05,25.69
905,2003-05-12,26.58
906,2003-05-19,28.54
907,2003-05-26,29.29
908,2003-06-02,29.1
909,2003-06-09,30.68
910,2003-06-16,31.46
911,2003-06-23,30.6
912,2003-06-30,30.01
913,2003-07-07,30.31
914,2003-07-14,30.73
915,2003-07-21,31.48
916,2003-07-28,30.61
917,2003-08-04,30.73
918,2003-08-11,32.11
919,2003-08-18,31.31
920,2003-08-25,31.19
921,2003-09-01,31.56
922,2003-09-08,29.2
923,2003-09-15,28.92
924,2003-09-22,27.39
925,2003-09-29,27.73
926,2003-10-06,29.43
927,2003-10-13,30.69
928,2003-10-20,31.49
929,2003-10-27,30.17
930,2003-11-03,29.28
931,2003-11-10,29.79
932,2003-11-17,31.56
933,2003-11-24,32.58
934,2003-12-01,30.11
935,2003-12-08,30.63
936,2003-12-15,32.16
937,2003-12-22,33.2
938,2003-12-29,32.24
939,2004-01-05,32.68
940,2004-01-12,33.89
941,2004-01-19,34.51
942,2004-01-26,35.45
943,2004-02-02,33.61
944,2004-02-09,33.41
945,2004-02-16,33.88
946,2004-02-23,35.54
947,2004-03-01,36.08
948,2004-03-08,36.67
949,2004-03-15,36.44
950,2004-03-22,37.78
951,2004-03-29,36.65
952,2004-04-05,35.23
953,2004-04-12,35.7
954,2004-04-19,37.39
955,2004-04-26,37.32
956,2004-05-03,37.31
957,2004-05-10,39.24
958,2004-05-17,40.37
959,2004-05-24,40.84
960,2004-05-31,40.65
961,2004-06-07,40.01
962,2004-06-14,37.99
963,2004-06-21,37.86
964,2004-06-28,37.7
965,2004-07-05,37.14
966,2004-07-12,39.73
967,2004-07-19,40.33
968,2004-07-26,41.27
969,2004-08-02,42.5
970,2004-08-09,43.81
971,2004-08-16,45.24
972,2004-08-23,47.28
973,2004-08-30,44.34
974,2004-09-06,43.28
975,2004-09-13,43.33
