Date,New England Price,East Coast Price,Central Atlantic Price,Lower Atlantic Price,Midwest Price,Gulf coast Price,West coast Price,Rocky mountain Price
2021-08-16,3.131,3.12,3.261,3.029,3.113,2.918,4.062,3.786
2021-08-09,3.129,3.121,3.258,3.033,3.124,2.901,4.041,3.784
2021-08-02,3.125,3.107,3.266,3.004,3.109,2.906,4.02,3.747
2021-07-26,3.117,3.09,3.234,2.992,3.089,2.877,3.987,3.708
2021-07-19,3.125,3.103,3.24,3.012,3.12,2.904,3.984,3.666
2021-07-12,3.12,3.091,3.219,3.005,3.082,2.897,3.97,3.594
2021-07-05,3.111,3.087,3.208,3.005,3.086,2.867,3.946,3.54
2021-06-28,3.084,3.057,3.188,2.969,3.049,2.847,3.917,3.462
2021-06-21,3.054,3.04,3.162,2.961,3.024,2.797,3.867,3.375
2021-06-14,3.035,3.043,3.155,2.974,3.046,2.824,3.859,3.321
2021-06-07,3.021,3.01,3.135,2.928,3.01,2.775,3.849,3.297
2021-05-31,3.009,3.007,3.119,2.935,2.989,2.787,3.826,3.261
2021-05-24,3.008,3.013,3.12,2.945,2.955,2.819,3.799,3.25
2021-05-17,3.001,3.016,3.116,2.953,2.973,2.847,3.775,3.234
2021-05-10,2.942,2.941,3.066,2.861,2.922,2.735,3.748,3.166
2021-05-03,2.876,2.855,2.987,2.766,2.864,2.651,3.699,3.124
2021-04-26,2.856,2.837,2.96,2.753,2.853,2.656,3.653,3.099
2021-04-19,2.827,2.828,2.921,2.768,2.83,2.635,3.628,3.079
2021-04-12,2.819,2.831,2.922,2.775,2.812,2.649,3.608,3.059
2021-04-05,2.834,2.842,2.942,2.78,2.84,2.658,3.587,3.057
2021-03-29,2.838,2.855,2.95,2.798,2.804,2.674,3.572,3.056
2021-03-22,2.852,2.883,2.973,2.832,2.801,2.693,3.567,3.046
2021-03-15,2.834,2.864,2.971,2.802,2.822,2.675,3.53,2.945
2021-03-08,2.768,2.78,2.927,2.689,2.763,2.564,3.44,2.812
2021-03-01,2.715,2.729,2.884,2.635,2.718,2.481,3.373,2.672
2021-02-22,2.637,2.68,2.815,2.605,2.618,2.414,3.249,2.544
2021-02-15,2.549,2.548,2.702,2.449,2.455,2.286,3.141,2.497
2021-02-08,2.52,2.515,2.662,2.421,2.418,2.236,3.102,2.434
2021-02-01,2.473,2.455,2.613,2.352,2.37,2.18,3.058,2.387
2021-01-25,2.453,2.45,2.605,2.349,2.335,2.175,3.033,2.367
2021-01-18,2.435,2.425,2.589,2.317,2.335,2.184,3.009,2.345
2021-01-11,2.361,2.372,2.518,2.28,2.272,2.09,2.951,2.315
2021-01-04,2.316,2.296,2.457,2.19,2.207,1.999,2.907,2.292
2020-12-28,2.29,2.276,2.427,2.176,2.227,2.001,2.893,2.295
2020-12-21,2.27,2.269,2.43,2.166,2.174,2.006,2.878,2.292
2020-12-14,2.228,2.219,2.389,2.108,2.065,1.916,2.866,2.271
2020-12-07,2.202,2.216,2.381,2.113,2.063,1.911,2.871,2.275
2020-11-30,2.181,2.185,2.376,2.063,2.005,1.863,2.868,2.282
2020-11-23,2.161,2.152,2.322,2.044,1.999,1.847,2.864,2.28
2020-11-16,2.17,2.152,2.327,2.038,2.021,1.858,2.864,2.3
2020-11-09,2.168,2.127,2.294,2.011,2.025,1.823,2.863,2.304
2020-11-02,2.168,2.149,2.314,2.04,2.026,1.862,2.869,2.32
2020-10-26,2.178,2.173,2.335,2.069,2.069,1.908,2.882,2.34
2020-10-19,2.186,2.196,2.353,2.099,2.057,1.905,2.887,2.359
2020-10-12,2.194,2.209,2.356,2.12,2.089,1.914,2.895,2.367
2020-10-05,2.185,2.208,2.34,2.132,2.106,1.901,2.903,2.376
2020-09-28,2.196,2.186,2.328,2.096,2.116,1.91,2.914,2.398
2020-09-21,2.205,2.192,2.333,2.1,2.091,1.911,2.931,2.416
2020-09-14,2.212,2.216,2.356,2.13,2.085,1.931,2.95,2.43
2020-09-07,2.228,2.244,2.379,2.164,2.124,1.963,2.953,2.447
2020-08-31,2.243,2.233,2.391,2.132,2.179,1.962,2.952,2.447
2020-08-24,2.203,2.174,2.307,2.083,2.13,1.94,2.948,2.449
2020-08-17,2.197,2.165,2.303,2.069,2.108,1.923,2.926,2.446
2020-08-10,2.195,2.171,2.308,2.078,2.117,1.885,2.917,2.471
2020-08-03,2.199,2.183,2.307,2.099,2.113,1.919,2.923,2.472
2020-07-27,2.2,2.172,2.318,2.073,2.134,1.927,2.917,2.426
2020-07-20,2.201,2.184,2.324,2.09,2.148,1.947,2.906,2.419
2020-07-13,2.194,2.19,2.323,2.105,2.182,1.942,2.89,2.427
2020-07-06,2.178,2.179,2.31,2.096,2.158,1.931,2.86,2.423
2020-06-29,2.177,2.164,2.308,2.07,2.166,1.943,2.845,2.409
2020-06-22,2.137,2.129,2.263,2.04,2.112,1.888,2.813,2.368
2020-06-15,2.12,2.101,2.228,2.014,2.081,1.848,2.773,2.33
2020-06-08,2.086,2.029,2.198,1.906,2.043,1.751,2.725,2.273
2020-06-01,2.028,1.995,2.17,1.873,1.951,1.691,2.674,2.192
2020-05-25,2.025,1.987,2.156,1.869,1.943,1.669,2.647,2.09
2020-05-18,1.969,1.917,2.113,1.776,1.841,1.616,2.575,1.918
2020-05-11,1.954,1.898,2.085,1.763,1.808,1.574,2.548,1.861
2020-05-04,1.92,1.878,2.061,1.75,1.633,1.562,2.536,1.873
2020-04-27,1.929,1.894,2.075,1.769,1.539,1.582,2.549,1.91
2020-04-20,1.957,1.929,2.123,1.797,1.572,1.618,2.611,1.967
2020-04-13,1.987,1.962,2.157,1.83,1.613,1.649,2.672,2.021
2020-04-06,2.035,2.006,2.197,1.875,1.691,1.73,2.774,2.108
2020-03-30,2.106,2.064,2.249,1.932,1.799,1.838,2.852,2.204
2020-03-23,2.231,2.166,2.332,2.043,1.935,1.936,2.969,2.334
2020-03-16,2.362,2.274,2.433,2.15,2.098,2.042,3.113,2.418
2020-03-09,2.486,2.382,2.532,2.259,2.294,2.133,3.201,2.477
2020-03-02,2.518,2.43,2.575,2.314,2.36,2.185,3.226,2.516
2020-02-24,2.537,2.478,2.611,2.377,2.412,2.223,3.235,2.538
2020-02-17,2.523,2.443,2.58,2.334,2.363,2.158,3.228,2.57
2020-02-10,2.538,2.448,2.584,2.338,2.319,2.162,3.237,2.605
2020-02-03,2.561,2.472,2.62,2.353,2.372,2.207,3.248,2.624
2020-01-27,2.597,2.527,2.66,2.424,2.43,2.267,3.26,2.647
2020-01-20,2.621,2.572,2.703,2.476,2.447,2.301,3.275,2.67
2020-01-13,2.637,2.595,2.736,2.493,2.498,2.345,3.289,2.704
2020-01-06,2.645,2.613,2.733,2.53,2.49,2.347,3.297,2.737
2019-12-30,2.628,2.576,2.694,2.488,2.507,2.352,3.31,2.759
2019-12-23,2.599,2.54,2.677,2.437,2.46,2.287,3.32,2.787
2019-12-16,2.601,2.535,2.662,2.438,2.448,2.3,3.366,2.826
2019-12-09,2.6,2.554,2.665,2.472,2.482,2.274,3.429,2.885
2019-12-02,2.61,2.554,2.678,2.461,2.48,2.297,3.499,2.908
2019-11-25,2.608,2.538,2.681,2.43,2.461,2.31,3.561,2.917
2019-11-18,2.605,2.53,2.679,2.415,2.493,2.291,3.632,2.926
2019-11-11,2.612,2.552,2.701,2.44,2.493,2.334,3.688,2.912
