date,price,location,grade
2021-08-16,4.497,California,M
2021-08-09,4.474,California,M
2021-08-02,4.461,California,M
2021-07-26,4.422,California,M
2021-07-19,4.424,California,M
2021-07-12,4.416,California,M
2021-07-05,4.397,California,M
2021-06-28,4.378,California,M
2021-06-21,4.331,California,M
2021-06-14,4.324,California,M
2021-06-07,4.319,California,M
2021-05-31,4.3,California,M
2021-05-24,4.262,California,M
2021-05-17,4.229,California,M
2021-05-10,4.198,California,M
2021-05-03,4.151,California,M
2021-04-26,4.107,California,M
2021-04-19,4.093,California,M
2021-04-12,4.057,California,M
2021-04-05,4.038,California,M
2021-03-29,4.01,California,M
2021-03-22,4.005,California,M
2021-03-15,3.977,California,M
2021-03-08,3.879,California,M
2021-03-01,3.812,California,M
2021-02-22,3.698,California,M
2021-02-15,3.59,California,M
2021-02-08,3.558,California,M
2021-02-01,3.509,California,M
2021-01-25,3.471,California,M
2021-01-18,3.445,California,M
2021-01-11,3.387,California,M
2021-01-04,3.339,California,M
2020-12-28,3.328,California,M
2020-12-21,3.303,California,M
2020-12-14,3.277,California,M
2020-12-07,3.278,California,M
2020-11-30,3.275,California,M
2020-11-23,3.262,California,M
2020-11-16,3.269,California,M
2020-11-09,3.269,California,M
2020-11-02,3.271,California,M
2020-10-26,3.283,California,M
2020-10-19,3.288,California,M
2020-10-12,3.289,California,M
2020-10-05,3.297,California,M
2020-09-28,3.312,California,M
2020-09-21,3.32,California,M
2020-09-14,3.33,California,M
2020-09-07,3.331,California,M
2020-08-31,3.331,California,M
2020-08-24,3.32,California,M
2020-08-17,3.287,California,M
2020-08-10,3.27,California,M
2020-08-03,3.269,California,M
2020-07-27,3.267,California,M
2020-07-20,3.245,California,M
2020-07-13,3.234,California,M
2020-07-06,3.205,California,M
2020-06-29,3.185,California,M
2020-06-22,3.169,California,M
2020-06-15,3.129,California,M
2020-06-08,3.094,California,M
2020-06-01,3.036,California,M
2020-05-25,3.017,California,M
2020-05-18,2.943,California,M
2020-05-11,2.901,California,M
2020-05-04,2.886,California,M
2020-04-27,2.905,California,M
2020-04-20,2.957,California,M
2020-04-13,2.998,California,M
2020-04-06,3.123,California,M
2020-03-30,3.199,California,M
2020-03-23,3.308,California,M
2020-03-16,3.443,California,M
2020-03-09,3.543,California,M
2020-03-02,3.578,California,M
2020-02-24,3.592,California,M
2020-02-17,3.599,California,M
2020-02-10,3.604,California,M
2020-02-03,3.611,California,M
2020-01-27,3.609,California,M
2020-01-20,3.635,California,M
2020-01-13,3.642,California,M
2020-01-06,3.646,California,M
2019-12-30,3.66,California,M
2019-12-23,3.674,California,M
2019-12-16,3.716,California,M
2019-12-09,3.788,California,M
2019-12-02,3.879,California,M
2019-11-25,3.95,California,M
2019-11-18,4.035,California,M
2019-11-11,4.144,California,M
2019-11-04,4.179,California,M
2019-10-28,4.146,California,M
2019-10-21,4.241,California,M
2019-10-14,4.3,California,M
2019-10-07,4.303,California,M
2019-09-30,4.174,California,M
2019-09-23,3.822,California,M
2019-09-16,3.696,California,M
2019-09-09,3.702,California,M
2019-09-02,3.711,California,M
2019-08-26,3.648,California,M
2019-08-19,3.66,California,M
2019-08-12,3.686,California,M
2019-08-05,3.748,California,M
2019-07-29,3.753,California,M
2019-07-22,3.772,California,M
2019-07-15,3.808,California,M
2019-07-08,3.826,California,M
2019-07-01,3.822,California,M
2019-06-24,3.8,California,M
2019-06-17,3.871,California,M
2019-06-10,3.933,California,M
2019-06-03,4.009,California,M
2019-05-27,4.059,California,M
2019-05-20,4.118,California,M
2019-05-13,4.153,California,M
2019-05-06,4.199,California,M
2019-04-29,4.175,California,M
2019-04-22,4.141,California,M
2019-04-15,4.116,California,M
2019-04-08,3.916,California,M
2019-04-01,3.722,California,M
2019-03-25,3.58,California,M
2019-03-18,3.448,California,M
2019-03-11,3.415,California,M
2019-03-04,3.389,California,M
2019-02-25,3.371,California,M
2019-02-18,3.361,California,M
2019-02-11,3.357,California,M
2019-02-04,3.332,California,M
2019-01-28,3.32,California,M
2019-01-21,3.347,California,M
2019-01-14,3.354,California,M
2019-01-07,3.388,California,M
2018-12-31,3.419,California,M
2018-12-24,3.459,California,M
2018-12-17,3.459,California,M
2018-12-10,3.515,California,M
2018-12-03,3.594,California,M
2018-11-26,3.682,California,M
2018-11-19,3.723,California,M
2018-11-12,3.779,California,M
