state,region
Alabama,Gulf Coast
Arizona,West Coast 
Arkansas,Lower Atlantic
California,California
Colorado,Colorado
Connecticut,New England
Delaware,East Coast
Florida,Florida
Georgia,East Coast
Idaho,West Coast 
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Rocky Mountain
Kentucky,Lower Atlantic
Louisiana,Gulf Coast
Maine,New England
Maryland,East Coast
Massachusetts,Massachusetts
Michigan,Midwest
Minnesota,Midwest
Mississippi,Gulf Coast
Missouri,Midwest
Montana,Midwest
Nebraska,Rocky Mountain
Nevada,West Coast 
New Hampshire,New England
New Jersey,East Coast
New Mexico,West Coast 
New York,New York
North Carolina,East Coast
North Dakota,Rocky Mountain
Ohio,Ohio
Oklahoma,Midwest
Oregon,West Coast 
Pennsylvania,Central Atlantic
Rhode Island,New England
South Carolina,East Coast
South Dakota,Rocky Mountain
Tennessee,Lower Atlantic
Texas,Texas
Utah,West Coast 
Vermont,New England
Virginia,East Coast
Washington,Washington
West Virginia,Central Atlantic
Wisconsin,Midwest
Wyoming,Rocky Mountain
